date,t2m,sp,rh,wind_speed,pwv,tp,Q,M
2018/2/17 13:30,284.26,1013.29,72.71,3.19,19.8,0.01,1,0.01
2018/2/17 13:45,284.19,1013.36,73.29,2.97,20.06,0.02,1,0.02
2018/2/17 14:00,284.12,1013.43,73.88,2.76,20.31,0.02,1,0.02
2018/2/17 14:15,284.0,1013.56,74.2,2.59,20.68,0.13,1,0.13
2018/2/17 14:30,283.89,1013.68,74.52,2.43,21.08,0.24,1,0.24
2018/2/17 14:45,283.77,1013.8,74.83,2.26,21.59,0.35,1,0.35
2018/2/17 15:00,283.65,1013.92,75.15,2.1,22.05,0.46,1,0.46
2018/2/17 15:15,283.5,1013.97,75.03,2.29,22.93,0.52,1,0.52
2018/2/17 15:30,283.34,1014.03,74.91,2.48,23.19,0.57,1,0.57
2018/2/17 15:45,283.19,1014.08,74.79,2.67,23.07,0.63,1,0.63
2018/2/17 16:00,283.04,1014.13,74.68,2.86,22.87,0.69,1,0.69
2018/2/17 16:15,282.97,1014.17,74.58,2.87,22.53,0.52,1,0.52
2018/2/17 16:30,282.9,1014.2,74.48,2.87,22.53,0.36,1,0.36
2018/2/17 16:45,282.83,1014.24,74.38,2.87,22.51,0.19,1,0.19
2018/2/17 17:00,282.76,1014.27,74.28,2.88,22.52,0.03,1,0.03
2018/2/17 17:15,282.77,1014.25,74.38,2.87,22.8,0.03,1,0.03
2018/2/17 17:30,282.78,1014.23,74.47,2.86,22.83,0.02,1,0.02
2018/2/17 17:45,282.8,1014.21,74.57,2.85,22.78,0.02,1,0.02
2018/2/17 18:00,282.81,1014.18,74.66,2.84,22.96,0.01,1,0.01
2018/2/17 18:15,282.82,1014.22,74.82,2.89,23.1,0.01,1,0.01
2018/2/17 18:30,282.83,1014.26,74.98,2.95,23.36,0.01,1,0.01
2018/2/17 20:30,282.58,1014.08,74.78,3.53,23.16,0.01,8,0.01
2018/2/17 20:45,282.64,1014.18,74.47,3.59,23.26,0.01,1,0.01
2018/2/17 21:00,282.69,1014.29,74.16,3.65,23.24,0.01,1,0.01
2018/2/17 21:15,282.44,1014.5,74.41,3.7,23.47,0.02,1,0.02
2018/2/17 21:30,282.19,1014.72,74.65,3.76,23.59,0.03,1,0.03
2018/2/17 21:45,281.94,1014.93,74.9,3.81,23.69,0.04,1,0.04
2018/2/17 22:00,281.69,1015.15,75.14,3.86,23.22,0.05,1,0.05
2018/2/17 22:15,281.63,1015.3,75.35,4.01,23.22,0.19,1,0.19
2018/2/17 22:30,281.57,1015.45,75.56,4.16,23.22,0.33,1,0.33
2018/2/17 22:45,281.51,1015.6,75.77,4.31,23.32,0.47,1,0.47
2018/2/17 23:00,281.45,1015.75,75.99,4.47,23.71,0.61,1,0.61
2018/2/17 23:15,281.37,1015.79,76.43,4.59,24.11,0.6,1,0.6
2018/2/17 23:30,281.29,1015.84,76.87,4.71,24.56,0.58,1,0.58
2018/2/17 23:45,281.22,1015.88,77.31,4.84,24.7,0.57,1,0.57
2018/2/18 0:00,281.14,1015.93,77.76,4.96,24.8,0.55,1,0.55
2018/2/18 0:15,280.99,1016.17,78.2,4.97,24.76,0.52,1,0.52
2018/2/18 0:30,280.84,1016.4,78.64,4.97,24.53,0.48,1,0.48
2018/2/18 0:45,280.69,1016.64,79.08,4.97,24.59,0.45,1,0.45
2018/2/18 1:00,280.54,1016.88,79.53,4.97,24.43,0.41,1,0.41
2018/2/18 1:15,280.45,1016.96,80.18,4.99,24.57,0.5,1,0.5
2018/2/18 1:30,280.37,1017.04,80.84,5.01,24.86,0.6,1,0.6
2018/2/18 1:45,280.29,1017.12,81.5,5.03,24.98,0.69,1,0.69
2018/2/18 2:00,280.2,1017.2,82.15,5.05,24.81,0.78,1,0.78
2018/2/18 2:15,280.14,1017.25,82.51,5.07,24.3,0.64,1,0.64
2018/2/18 2:30,280.08,1017.3,82.87,5.1,24.07,0.51,1,0.51
2018/2/18 2:45,280.02,1017.35,83.23,5.12,23.95,0.37,1,0.37
2018/2/18 3:00,279.96,1017.41,83.59,5.14,23.86,0.23,1,0.23
2018/2/18 3:15,279.98,1017.37,83.92,5.08,23.81,0.3,1,0.3
2018/2/18 3:30,280.01,1017.33,84.24,5.03,23.93,0.38,1,0.38
2018/2/18 3:45,280.04,1017.29,84.56,4.98,24.04,0.45,1,0.45
2018/2/18 4:00,280.06,1017.25,84.88,4.92,23.75,0.52,1,0.52
2018/2/18 4:15,280.06,1016.99,85.3,4.91,23.62,0.61,1,0.61
2018/2/18 4:30,280.07,1016.74,85.72,4.89,23.66,0.71,1,0.71
2018/2/18 4:45,280.07,1016.48,86.14,4.87,23.47,0.8,1,0.8
2018/2/18 5:00,280.08,1016.22,86.55,4.85,23.82,0.89,1,0.89
2018/2/18 5:15,280.1,1016.19,86.69,4.76,23.54,0.9,1,0.9
2018/2/18 5:30,280.13,1016.16,86.83,4.67,23.3,0.91,1,0.91
2018/2/18 5:45,280.15,1016.13,86.97,4.59,22.94,0.91,1,0.91
2018/2/18 6:00,280.18,1016.11,87.11,4.5,22.83,0.92,1,0.92
2018/2/18 6:15,280.14,1016.04,87.24,4.48,22.6,0.73,1,0.73
2018/2/18 6:30,280.1,1015.96,87.36,4.47,22.65,0.54,1,0.54
2018/2/18 6:45,280.06,1015.89,87.48,4.45,22.53,0.34,1,0.34
2018/2/18 7:00,280.02,1015.82,87.61,4.43,22.66,0.15,1,0.15
2018/2/18 7:15,279.9,1015.85,87.62,4.41,22.8,0.14,1,0.14
2018/2/18 7:30,279.79,1015.88,87.63,4.39,23.06,0.14,1,0.14
2018/2/18 7:45,279.67,1015.91,87.64,4.37,23.28,0.13,1,0.13
2018/2/18 8:00,279.55,1015.94,87.65,4.35,23.22,0.12,1,0.12
2018/2/18 8:15,279.57,1016.06,87.63,4.33,23.16,0.1,1,0.1
2018/2/18 8:30,279.59,1016.19,87.61,4.31,23.31,0.08,1,0.08
2018/2/18 8:45,279.61,1016.31,87.59,4.29,23.22,0.05,1,0.05
2018/2/18 9:00,279.63,1016.43,87.57,4.27,22.52,0.03,1,0.03
2018/2/18 9:15,279.54,1016.52,87.72,4.25,22.28,0.02,1,0.02
2018/2/18 9:30,279.45,1016.61,87.87,4.22,22.14,0.02,1,0.02
2018/2/18 9:45,279.37,1016.7,88.02,4.2,22.47,0.01,1,0.01
2018/2/18 10:30,279.4,1017.17,87.83,3.97,22.46,0.01,3,0.01
2018/2/18 10:45,279.47,1017.35,87.67,3.87,21.51,0.01,1,0.01
2018/2/18 11:00,279.53,1017.54,87.5,3.77,21.22,0.01,1,0.01
2018/2/18 11:15,279.53,1017.71,87.47,3.75,21.3,0.12,1,0.12
2018/2/18 11:30,279.52,1017.89,87.45,3.74,21.33,0.22,1,0.22
2018/2/18 11:45,279.52,1018.07,87.42,3.73,21.25,0.33,1,0.33
2018/2/18 12:00,279.52,1018.25,87.39,3.71,20.94,0.43,1,0.43
2018/2/18 12:15,279.53,1018.28,87.52,3.78,20.5,0.51,1,0.51
2018/2/18 12:30,279.54,1018.32,87.64,3.85,20.56,0.59,1,0.59
2018/2/18 12:45,279.55,1018.35,87.77,3.92,20.62,0.67,1,0.67
2018/2/18 13:00,279.56,1018.38,87.89,3.99,20.35,0.75,1,0.75
2018/2/18 13:15,279.55,1018.36,88.33,4.05,20.36,0.64,1,0.64
2018/2/18 13:30,279.55,1018.35,88.76,4.1,20.42,0.52,1,0.52
2018/2/18 13:45,279.54,1018.33,89.2,4.16,20.32,0.41,1,0.41
2018/2/18 14:00,279.54,1018.31,89.63,4.22,20.06,0.29,1,0.29
2018/2/18 14:15,279.47,1018.41,89.91,4.23,20.2,0.25,1,0.25
2018/2/18 14:30,279.41,1018.5,90.19,4.25,19.89,0.21,1,0.21
2018/2/18 14:45,279.35,1018.6,90.46,4.26,19.56,0.17,1,0.17
2018/2/18 15:00,279.28,1018.69,90.74,4.27,19.59,0.13,1,0.13
2018/2/18 15:15,279.29,1018.62,90.91,4.19,20.27,0.24,1,0.24
2018/2/18 15:30,279.3,1018.55,91.08,4.1,20.45,0.36,1,0.36
2018/2/18 15:45,279.3,1018.47,91.25,4.02,20.48,0.47,1,0.47
2018/2/18 16:00,279.31,1018.4,91.42,3.94,20.82,0.58,1,0.58
2018/2/18 16:15,279.3,1018.37,91.55,3.8,21.06,0.47,1,0.47
2018/2/18 16:30,279.3,1018.35,91.68,3.66,21.23,0.37,1,0.37
2018/2/18 16:45,279.29,1018.32,91.81,3.52,21.66,0.26,1,0.26
2018/2/18 17:00,279.28,1018.3,91.95,3.38,21.98,0.15,1,0.15
2018/2/18 17:15,279.29,1018.14,91.9,3.25,22.11,0.16,1,0.16
2018/2/18 17:30,279.29,1017.99,91.84,3.12,22.08,0.16,1,0.16
2018/2/18 17:45,279.3,1017.83,91.79,2.99,22.38,0.17,1,0.17
2018/2/18 18:00,279.31,1017.67,91.74,2.86,22.86,0.17,1,0.17
2018/2/18 18:15,279.33,1017.61,91.95,2.65,23.23,0.23,1,0.23
2018/2/18 18:30,279.35,1017.55,92.16,2.44,23.16,0.29,1,0.29
2018/2/18 18:45,279.38,1017.48,92.36,2.23,23.12,0.35,1,0.35
2018/2/18 19:00,279.4,1017.42,92.57,2.02,23.14,0.41,1,0.41
2018/2/18 19:15,279.31,1017.34,92.89,2.07,23.1,0.39,1,0.39
2018/2/18 19:30,279.23,1017.26,93.22,2.11,23.25,0.37,1,0.37
2018/2/18 19:45,279.14,1017.18,93.54,2.15,22.94,0.34,1,0.34
2018/2/18 20:00,279.05,1017.1,93.86,2.2,22.54,0.32,1,0.32
2018/2/18 20:15,279.07,1017.22,94.27,2.6,22.65,0.32,1,0.32
2018/2/18 20:30,279.08,1017.34,94.67,3.0,22.68,0.32,1,0.32
2018/2/18 20:45,279.09,1017.46,95.08,3.4,22.73,0.32,1,0.32
2018/2/18 21:00,279.11,1017.58,95.49,3.8,22.39,0.32,1,0.32
2018/2/18 21:15,279.0,1017.92,95.9,3.89,22.47,0.52,1,0.52
2018/2/18 21:30,278.89,1018.26,96.32,3.98,22.61,0.71,1,0.71
2018/2/18 21:45,278.78,1018.6,96.74,4.07,22.72,0.91,1,0.91
2018/2/18 22:00,278.67,1018.94,97.16,4.16,22.51,1.1,1,1.1
2018/2/18 22:15,278.67,1019.04,97.33,4.11,22.71,1.08,1,1.08
2018/2/18 22:30,278.66,1019.14,97.49,4.07,22.28,1.06,1,1.06
2018/2/18 22:45,278.65,1019.25,97.66,4.02,22.19,1.04,1,1.04
2018/2/18 23:00,278.64,1019.35,97.83,3.98,22.42,1.02,1,1.02
2018/2/18 23:15,278.61,1019.38,97.93,3.96,22.91,0.99,1,0.99
2018/2/18 23:30,278.58,1019.41,98.03,3.94,23.28,0.97,1,0.97
2018/2/18 23:45,278.55,1019.44,98.13,3.92,23.46,0.94,1,0.94
2018/2/19 0:00,278.52,1019.48,98.24,3.9,22.92,0.91,1,0.91
2018/2/19 0:15,278.52,1019.63,98.17,3.85,22.77,0.94,1,0.94
2018/2/19 0:30,278.52,1019.78,98.1,3.8,22.51,0.97,1,0.97
2018/2/19 0:45,278.52,1019.93,98.03,3.75,22.49,0.99,1,0.99
2018/2/19 1:00,278.52,1020.08,97.96,3.7,21.99,1.02,1,1.02
2018/2/19 1:15,278.57,1020.14,97.9,3.59,21.76,0.9,1,0.9
2018/2/19 1:30,278.62,1020.19,97.85,3.47,21.56,0.78,1,0.78
2018/2/19 1:45,278.68,1020.25,97.79,3.36,21.32,0.66,1,0.66
2018/2/19 2:00,278.73,1020.3,97.73,3.24,20.95,0.54,1,0.54
2018/2/19 2:15,278.69,1020.3,97.57,3.33,20.69,0.5,1,0.5
2018/2/19 2:30,278.65,1020.3,97.4,3.42,20.5,0.46,1,0.46
2018/2/19 2:45,278.61,1020.29,97.23,3.51,20.2,0.42,1,0.42
2018/2/19 3:00,278.57,1020.29,97.07,3.6,20.04,0.38,1,0.38
2018/2/19 3:15,278.53,1020.17,96.96,3.63,19.9,0.32,1,0.32
2018/2/19 3:30,278.48,1020.04,96.85,3.66,19.76,0.25,1,0.25
2018/2/19 3:45,278.44,1019.92,96.74,3.69,19.64,0.19,1,0.19
2018/2/19 4:00,278.4,1019.8,96.63,3.72,19.76,0.12,1,0.12
2018/2/19 4:15,278.54,1019.48,96.61,3.5,19.94,0.1,1,0.1
2018/2/19 4:30,278.68,1019.17,96.58,3.29,19.79,0.07,1,0.07
2018/2/19 4:45,278.81,1018.85,96.56,3.08,19.51,0.05,1,0.05
2018/2/19 5:00,278.95,1018.54,96.54,2.87,19.91,0.02,1,0.02
2018/2/19 5:15,278.89,1018.39,96.26,2.83,19.55,0.02,1,0.02
2018/2/19 5:30,278.82,1018.23,95.98,2.8,19.16,0.02,1,0.02
2018/2/19 5:45,278.75,1018.08,95.7,2.76,18.83,0.01,1,0.01
2018/2/19 6:00,278.69,1017.93,95.42,2.72,18.99,0.01,1,0.01
2018/2/19 6:15,278.73,1017.8,94.69,2.8,18.97,0.01,1,0.01
2018/2/19 6:30,278.78,1017.67,93.96,2.89,18.91,0.01,1,0.01
2018/2/19 20:15,279.4,1017.77,90.33,3.07,18.85,0.01,55,0.01
2018/2/19 20:30,279.42,1017.59,90.33,2.91,18.99,0.01,1,0.01
2018/2/19 20:45,279.44,1017.42,90.33,2.74,18.74,0.02,1,0.02
2018/2/19 21:00,279.47,1017.24,90.33,2.58,19.04,0.02,1,0.02
2018/2/19 21:15,279.43,1017.37,90.9,2.34,19.2,0.08,1,0.08
2018/2/19 21:30,279.39,1017.51,91.46,2.1,19.42,0.15,1,0.15
2018/2/19 21:45,279.35,1017.64,92.02,1.86,20.02,0.21,1,0.21
2018/2/19 22:00,279.31,1017.77,92.58,1.63,20.39,0.27,1,0.27
2018/2/19 22:15,279.33,1017.93,92.39,1.56,20.84,0.39,1,0.39
2018/2/19 22:30,279.36,1018.09,92.2,1.49,21.27,0.52,1,0.52
2018/2/19 22:45,279.38,1018.26,92.01,1.43,21.94,0.64,1,0.64
2018/2/19 23:00,279.41,1018.42,91.82,1.36,22.7,0.76,1,0.76
2018/2/19 23:15,279.41,1018.56,91.68,1.5,23.21,0.92,1,0.92
2018/2/19 23:30,279.41,1018.7,91.54,1.63,23.58,1.09,1,1.09
2018/2/19 23:45,279.42,1018.84,91.4,1.77,23.54,1.25,1,1.25
2018/2/20 0:00,279.42,1018.98,91.26,1.91,23.52,1.41,1,1.41
2018/2/20 0:15,279.38,1018.99,91.28,1.82,23.5,1.48,1,1.48
2018/2/20 0:30,279.33,1019.0,91.3,1.72,22.8,1.55,1,1.55
2018/2/20 0:45,279.29,1019.01,91.31,1.63,22.46,1.62,1,1.62
2018/2/20 1:00,279.25,1019.02,91.33,1.54,22.61,1.69,1,1.69
2018/2/20 1:15,279.29,1019.0,91.8,1.55,22.65,1.73,1,1.73
2018/2/20 1:30,279.34,1018.98,92.27,1.56,22.85,1.77,1,1.77
2018/2/20 1:45,279.39,1018.96,92.73,1.57,22.87,1.8,1,1.8
2018/2/20 2:00,279.44,1018.94,93.2,1.58,22.43,1.84,1,1.84
2018/2/20 2:15,279.53,1018.78,93.43,1.55,21.88,1.71,1,1.71
2018/2/20 2:30,279.62,1018.63,93.66,1.53,21.52,1.59,1,1.59
2018/2/20 2:45,279.71,1018.47,93.88,1.5,21.6,1.46,1,1.46
2018/2/20 3:00,279.8,1018.31,94.11,1.47,21.59,1.33,1,1.33
2018/2/20 3:15,279.73,1018.34,94.21,1.6,21.55,1.38,1,1.38
2018/2/20 3:30,279.66,1018.36,94.3,1.73,21.75,1.43,1,1.43
2018/2/20 3:45,279.59,1018.39,94.39,1.86,21.93,1.47,1,1.47
2018/2/20 4:00,279.53,1018.41,94.48,1.99,21.96,1.52,1,1.52
2018/2/20 4:15,279.49,1018.19,94.7,2.11,22.14,1.53,1,1.53
2018/2/20 4:30,279.45,1017.98,94.92,2.23,21.82,1.54,1,1.54
2018/2/20 4:45,279.41,1017.76,95.14,2.35,21.32,1.55,1,1.55
2018/2/20 5:00,279.37,1017.54,95.36,2.47,21.63,1.56,1,1.56
2018/2/20 5:15,279.49,1017.44,95.14,2.72,21.24,1.33,1,1.33
2018/2/20 5:30,279.61,1017.35,94.92,2.98,20.9,1.09,1,1.09
2018/2/20 5:45,279.74,1017.25,94.69,3.24,20.41,0.86,1,0.86
2018/2/20 6:00,279.86,1017.16,94.47,3.5,20.25,0.62,1,0.62
2018/2/20 6:15,279.88,1017.08,94.53,3.59,20.05,0.71,1,0.71
2018/2/20 6:30,279.89,1017.01,94.58,3.68,19.41,0.8,1,0.8
2018/2/20 6:45,279.91,1016.93,94.63,3.77,19.09,0.89,1,0.89
2018/2/20 7:00,279.93,1016.86,94.69,3.85,19.5,0.98,1,0.98
2018/2/20 7:15,280.0,1017.01,94.32,3.83,19.68,0.88,1,0.88
2018/2/20 7:30,280.08,1017.16,93.96,3.81,19.81,0.77,1,0.77
2018/2/20 7:45,280.15,1017.31,93.59,3.79,19.53,0.67,1,0.67
2018/2/20 8:00,280.23,1017.46,93.23,3.77,19.17,0.57,1,0.57
2018/2/20 8:15,280.22,1017.4,93.4,3.62,19.35,0.47,1,0.47
2018/2/20 8:30,280.22,1017.35,93.56,3.47,19.4,0.37,1,0.37
2018/2/20 8:45,280.22,1017.29,93.73,3.32,19.11,0.26,1,0.26
2018/2/20 9:00,280.21,1017.23,93.9,3.17,18.66,0.16,1,0.16
2018/2/20 9:15,280.1,1017.43,93.78,3.09,18.17,0.13,1,0.13
2018/2/20 9:30,279.98,1017.64,93.66,3.01,17.88,0.1,1,0.1
2018/2/20 9:45,279.86,1017.84,93.55,2.93,17.63,0.06,1,0.06
2018/2/20 10:00,279.75,1018.04,93.43,2.85,17.24,0.03,1,0.03
2018/2/20 10:15,279.75,1018.26,93.39,2.85,16.7,0.02,1,0.02
2018/2/20 10:30,279.76,1018.49,93.34,2.85,16.08,0.02,1,0.02
2018/2/20 10:45,279.76,1018.71,93.3,2.84,15.72,0.01,1,0.01
2018/2/21 0:15,278.73,1022.4,93.08,4.02,16.43,0.03,54,0.03
2018/2/21 0:30,278.85,1022.53,93.38,3.94,16.42,0.06,1,0.06
2018/2/21 0:45,278.97,1022.67,93.67,3.85,16.51,0.09,1,0.09
2018/2/21 1:00,279.09,1022.8,93.97,3.77,16.51,0.12,1,0.12
2018/2/21 1:15,279.3,1022.88,93.11,3.67,16.61,0.18,1,0.18
2018/2/21 1:30,279.52,1022.96,92.26,3.57,17.06,0.25,1,0.25
2018/2/21 1:45,279.73,1023.04,91.41,3.47,17.44,0.31,1,0.31
2018/2/21 2:00,279.95,1023.12,90.56,3.37,17.29,0.37,1,0.37
2018/2/21 2:15,279.93,1023.19,89.98,3.34,16.93,0.28,1,0.28
2018/2/21 2:30,279.92,1023.26,89.4,3.3,16.8,0.19,1,0.19
2018/2/21 2:45,279.91,1023.33,88.82,3.26,16.53,0.09,1,0.09
2018/2/21 4:15,279.7,1022.95,83.92,3.37,16.77,0.02,6,0.02
2018/2/21 4:30,279.89,1022.64,82.58,3.38,16.63,0.05,1,0.05
2018/2/21 4:45,280.08,1022.34,81.23,3.39,16.51,0.07,1,0.07
2018/2/21 5:00,280.27,1022.04,79.89,3.39,16.83,0.09,1,0.09
2018/2/21 5:15,280.29,1021.91,78.91,3.42,16.49,0.09,1,0.09
2018/2/21 5:30,280.3,1021.79,77.93,3.44,16.26,0.1,1,0.1
2018/2/21 5:45,280.31,1021.66,76.95,3.46,16.09,0.1,1,0.1
2018/2/21 6:00,280.32,1021.53,75.97,3.48,15.9,0.1,1,0.1
2018/2/21 6:15,280.29,1021.31,74.98,3.5,15.81,0.08,1,0.08
2018/2/21 6:30,280.26,1021.08,73.99,3.51,15.59,0.05,1,0.05
2018/2/21 6:45,280.23,1020.86,73.0,3.53,15.41,0.03,1,0.03
2018/2/21 12:30,280.26,1022.55,73.34,3.13,13.14,0.01,23,0.01
2018/2/21 12:45,280.27,1022.77,73.62,3.27,13.12,0.01,1,0.01
2018/2/21 13:00,280.29,1022.98,73.9,3.4,12.96,0.01,1,0.01
2018/2/21 13:15,280.19,1023.04,74.18,3.42,12.72,0.01,1,0.01
2018/2/21 13:30,280.09,1023.09,74.46,3.44,12.53,0.01,1,0.01
2018/2/21 13:45,279.99,1023.14,74.74,3.47,12.42,0.01,1,0.01
2018/2/21 14:00,279.89,1023.19,75.02,3.49,12.34,0.01,1,0.01
2018/2/21 14:15,279.68,1023.32,75.04,3.51,12.34,0.01,1,0.01
2018/2/21 14:30,279.46,1023.44,75.05,3.52,12.23,0.01,1,0.01
2018/2/23 12:15,287.4,1014.47,57.1,4.62,15.95,0.11,183,0.11
2018/2/23 12:30,287.39,1014.6,57.69,4.66,16.21,0.21,1,0.21
2018/2/23 12:45,287.38,1014.74,58.29,4.7,16.48,0.32,1,0.32
2018/2/23 13:00,287.38,1014.88,58.88,4.74,16.48,0.42,1,0.42
2018/2/23 13:15,287.06,1015.13,59.68,4.62,16.45,0.39,1,0.39
2018/2/23 13:30,286.75,1015.38,60.48,4.5,16.37,0.36,1,0.36
2018/2/23 13:45,286.44,1015.63,61.27,4.38,16.33,0.32,1,0.32
2018/2/23 14:00,286.13,1015.88,62.07,4.26,16.07,0.29,1,0.29
2018/2/23 14:15,285.71,1015.95,62.56,4.23,16.21,0.34,1,0.34
2018/2/23 14:30,285.3,1016.02,63.05,4.19,16.68,0.38,1,0.38
2018/2/23 14:45,284.88,1016.09,63.54,4.16,17.51,0.43,1,0.43
2018/2/23 15:00,284.47,1016.16,64.03,4.13,18.11,0.47,1,0.47
2018/2/23 15:15,284.55,1016.13,64.5,3.97,18.72,0.47,1,0.47
2018/2/23 15:30,284.64,1016.1,64.97,3.81,18.63,0.48,1,0.48
