date,M,Q
2018/2/17 22:30,0.33,1
2018/2/17 22:45,0.47,1
2018/2/17 23:00,0.61,1
2018/2/17 23:15,0.6,1
2018/2/17 23:30,0.58,1
2018/2/17 23:45,0.57,1
2018/2/18 0:00,0.55,1
2018/2/18 0:15,0.52,1
2018/2/18 0:30,0.48,1
2018/2/18 0:45,0.45,1
2018/2/18 1:00,0.41,1
2018/2/18 1:15,0.5,1
2018/2/18 1:30,0.6,1
2018/2/18 1:45,0.69,1
2018/2/18 2:00,0.78,1
2018/2/18 2:15,0.64,1
2018/2/18 2:30,0.51,1
2018/2/18 2:45,0.37,1
2018/2/18 3:00,0.23,1
2018/2/18 3:15,0.3,1
2018/2/18 3:30,0.38,1
2018/2/18 3:45,0.45,1
2018/2/18 4:00,0.52,1
2018/2/18 4:15,0.61,1
2018/2/18 4:30,0.71,1
2018/2/18 4:45,0.8,1
2018/2/18 5:00,0.89,1
2018/2/18 5:15,0.9,1
2018/2/18 5:30,0.91,1
2018/2/18 5:45,0.91,1
2018/2/18 6:00,0.92,1
2018/2/18 6:15,0.73,1
2018/2/18 6:30,0.54,1
2018/2/18 6:45,0.34,1
2018/2/18 7:00,0.15,1
2018/2/18 7:15,0.14,1
2018/2/18 7:30,0.14,1
2018/2/18 7:45,0.13,1
2018/2/18 8:00,0.12,1
2018/2/18 8:15,0.1,1
2018/2/18 8:30,0.08,1
2018/2/18 8:45,0.05,1
2018/2/18 9:00,0.03,1
2018/2/18 9:15,0.02,1
2018/2/18 9:30,0.02,1
2018/2/18 9:45,0.01,1
2018/2/18 10:30,0.01,3
2018/2/18 10:45,0.01,1
2018/2/18 11:00,0.01,1
2018/2/18 11:15,0.12,1
2018/2/18 11:30,0.22,1
2018/2/18 11:45,0.33,1
2018/2/18 12:00,0.43,1
2018/2/18 12:15,0.51,1
2018/2/18 12:30,0.59,1
2018/2/18 12:45,0.67,1
2018/2/18 13:00,0.75,1
2018/2/18 13:15,0.64,1
2018/2/18 13:30,0.52,1
2018/2/18 13:45,0.41,1
2018/2/18 14:00,0.29,1
2018/2/18 14:15,0.25,1
2018/2/18 14:30,0.21,1
2018/2/18 14:45,0.17,1
2018/2/18 15:00,0.13,1
2018/2/18 15:15,0.24,1
2018/2/18 15:30,0.36,1
2018/2/18 15:45,0.47,1
2018/2/18 16:00,0.58,1
2018/2/18 16:15,0.47,1
2018/2/18 16:30,0.37,1
2018/2/18 16:45,0.26,1
2018/2/18 17:00,0.15,1
2018/2/18 17:15,0.16,1
2018/2/18 17:30,0.16,1
2018/2/18 17:45,0.17,1
2018/2/18 18:00,0.17,1
2018/2/18 18:15,0.23,1
2018/2/18 18:30,0.29,1
2018/2/18 18:45,0.35,1
2018/2/18 19:00,0.41,1
2018/2/18 19:15,0.39,1
2018/2/18 19:30,0.37,1
2018/2/18 19:45,0.34,1
2018/2/18 20:00,0.32,1
2018/2/18 20:15,0.32,1
2018/2/18 20:30,0.32,1
2018/2/18 20:45,0.32,1
2018/2/18 21:00,0.32,1
2018/2/18 21:15,0.52,1
2018/2/18 21:30,0.71,1
2018/2/18 21:45,0.91,1
2018/2/18 22:00,1.1,1
2018/2/18 22:15,1.08,1
2018/2/18 22:30,1.06,1
2018/2/18 22:45,1.04,1
2018/2/18 23:00,1.02,1
2018/2/18 23:15,0.99,1
2018/2/18 23:30,0.97,1
2018/2/18 23:45,0.94,1
2018/2/19 0:00,0.91,1
2018/2/19 0:15,0.94,1
2018/2/19 0:30,0.97,1
2018/2/19 0:45,0.99,1
2018/2/19 1:00,1.02,1
2018/2/19 1:15,0.9,1
2018/2/19 1:30,0.78,1
2018/2/19 1:45,0.66,1
2018/2/19 2:00,0.54,1
2018/2/19 2:15,0.5,1
2018/2/19 2:30,0.46,1
2018/2/19 2:45,0.42,1
2018/2/19 3:00,0.38,1
2018/2/19 3:15,0.32,1
2018/2/19 3:30,0.25,1
2018/2/19 3:45,0.19,1
2018/2/19 4:00,0.12,1
2018/2/19 4:15,0.1,1
2018/2/19 4:30,0.07,1
2018/2/19 4:45,0.05,1
2018/2/19 5:00,0.02,1
2018/2/19 5:15,0.02,1
2018/2/19 5:30,0.02,1
2018/2/19 5:45,0.01,1
2018/2/19 6:00,0.01,1
2018/2/19 6:15,0.01,1
2018/2/19 6:30,0.01,1
2018/2/19 20:15,0.01,55
2018/2/19 20:30,0.01,1
2018/2/19 20:45,0.02,1
2018/2/19 21:00,0.02,1
2018/2/19 21:15,0.08,1
2018/2/19 21:30,0.15,1
2018/2/19 21:45,0.21,1
2018/2/19 22:00,0.27,1
2018/2/19 22:15,0.39,1
2018/2/19 22:30,0.52,1
2018/2/19 22:45,0.64,1
2018/2/19 23:00,0.76,1
2018/2/19 23:15,0.92,1
2018/2/19 23:30,1.09,1
2018/2/19 23:45,1.25,1
2018/2/20 0:00,1.41,1
2018/2/20 0:15,1.48,1
2018/2/20 0:30,1.55,1
2018/2/20 0:45,1.62,1
2018/2/20 1:00,1.69,1
2018/2/20 1:15,1.73,1
2018/2/20 1:30,1.77,1
2018/2/20 1:45,1.8,1
2018/2/20 2:00,1.84,1
2018/2/20 2:15,1.71,1
2018/2/20 2:30,1.59,1
2018/2/20 2:45,1.46,1
2018/2/20 3:00,1.33,1
2018/2/20 3:15,1.38,1
2018/2/20 3:30,1.43,1
2018/2/20 3:45,1.47,1
2018/2/20 4:00,1.52,1
2018/2/20 4:15,1.53,1
2018/2/20 4:30,1.54,1
2018/2/20 4:45,1.55,1
2018/2/20 5:00,1.56,1
2018/2/20 5:15,1.33,1
2018/2/20 5:30,1.09,1
2018/2/20 5:45,0.86,1
2018/2/20 6:00,0.62,1
2018/2/20 6:15,0.71,1
2018/2/20 6:30,0.8,1
2018/2/20 6:45,0.89,1
2018/2/20 7:00,0.98,1
2018/2/20 7:15,0.88,1
2018/2/20 7:30,0.77,1
2018/2/20 7:45,0.67,1
2018/2/20 8:00,0.57,1
2018/2/20 8:15,0.47,1
2018/2/20 8:30,0.37,1
2018/2/20 8:45,0.26,1
2018/2/20 9:00,0.16,1
2018/2/20 9:15,0.13,1
2018/2/20 9:30,0.1,1
2018/2/20 9:45,0.06,1
2018/2/20 10:00,0.03,1
2018/2/20 10:15,0.02,1
2018/2/20 10:30,0.02,1
2018/2/20 10:45,0.01,1
2018/2/21 0:15,0.03,54
2018/2/21 0:30,0.06,1
2018/2/21 0:45,0.09,1
2018/2/21 1:00,0.12,1
2018/2/21 1:15,0.18,1
2018/2/21 1:30,0.25,1
2018/2/21 1:45,0.31,1
2018/2/21 2:00,0.37,1
2018/2/21 2:15,0.28,1
2018/2/21 2:30,0.19,1
2018/2/21 2:45,0.09,1
2018/2/21 4:15,0.02,6
2018/2/21 4:30,0.05,1
2018/2/21 4:45,0.07,1
2018/2/21 5:00,0.09,1
2018/2/21 5:15,0.09,1
2018/2/21 5:30,0.1,1
2018/2/21 5:45,0.1,1
2018/2/21 6:00,0.1,1
2018/2/21 6:15,0.08,1
2018/2/21 6:30,0.05,1
2018/2/21 6:45,0.03,1
2018/2/21 12:30,0.01,23
2018/2/21 12:45,0.01,1
2018/2/21 13:00,0.01,1
2018/2/21 13:15,0.01,1
2018/2/21 13:30,0.01,1
2018/2/21 13:45,0.01,1
2018/2/21 14:00,0.01,1
2018/2/21 14:15,0.01,1
2018/2/21 14:30,0.01,1
2018/2/23 12:15,0.11,183
2018/2/23 12:30,0.21,1
2018/2/23 12:45,0.32,1
2018/2/23 13:00,0.42,1
2018/2/23 13:15,0.39,1
2018/2/23 13:30,0.36,1
2018/2/23 13:45,0.32,1
2018/2/23 14:00,0.29,1
2018/2/23 14:15,0.34,1
2018/2/23 14:30,0.38,1
2018/2/23 14:45,0.43,1
2018/2/23 15:00,0.47,1
2018/2/23 15:15,0.47,1
2018/2/23 15:30,0.48,1
2018/2/23 15:45,0.48,1
2018/2/23 16:00,0.48,1
2018/2/23 16:15,0.42,1
2018/2/23 16:30,0.36,1
2018/2/23 16:45,0.3,1
2018/2/23 17:00,0.24,1
2018/2/23 17:15,0.25,1
2018/2/23 17:30,0.25,1
2018/2/23 17:45,0.26,1
2018/2/23 18:00,0.26,1
2018/2/23 18:15,0.2,1
2018/2/23 18:30,0.13,1
2018/2/23 18:45,0.07,1
2018/2/23 20:30,0.01,7
2018/2/23 20:45,0.01,1
2018/2/23 21:00,0.01,1
2018/2/23 21:15,0.01,1
2018/2/23 21:30,0.01,1
2018/2/24 2:15,0.01,19
2018/2/24 2:30,0.01,1
2018/2/24 2:45,0.02,1
2018/2/24 3:00,0.02,1
2018/2/24 3:15,0.02,1
2018/2/24 3:30,0.01,1
2018/2/24 3:45,0.01,1
2018/2/24 4:30,0.01,3
2018/2/24 4:45,0.01,1
2018/2/24 5:00,0.01,1
2018/2/24 5:15,0.01,1
2018/2/24 5:30,0.01,1
2018/2/24 7:15,0.03,7
2018/2/24 7:30,0.05,1
2018/2/24 7:45,0.08,1
2018/2/24 8:00,0.1,1
2018/2/24 8:15,0.1,1
2018/2/24 8:30,0.1,1
2018/2/24 8:45,0.09,1
2018/2/24 9:00,0.09,1
2018/2/24 9:15,0.09,1
2018/2/24 9:30,0.08,1
2018/2/24 9:45,0.08,1
2018/2/24 10:00,0.07,1
2018/2/24 10:15,0.06,1
2018/2/24 10:30,0.06,1
2018/2/24 10:45,0.05,1
2018/2/24 11:00,0.04,1
2018/2/24 11:15,0.03,1
2018/2/24 11:30,0.03,1
2018/2/24 11:45,0.02,1
2018/2/24 12:00,0.01,1
2018/2/24 12:15,0.01,1
2018/2/24 12:30,0.01,1
2018/2/24 12:45,0.01,1
2018/2/24 13:00,0.01,1
2018/2/24 13:15,0.01,1
2018/2/24 13:30,0.01,1
2018/2/26 21:15,0.04,223
2018/2/26 21:30,0.08,1
2018/2/26 21:45,0.12,1
2018/2/26 22:00,0.16,1
2018/2/26 22:15,0.12,1
2018/2/26 22:30,0.09,1
2018/2/26 22:45,0.05,1
2018/2/26 23:00,0.01,1
2018/2/26 23:15,0.01,1
2018/2/26 23:30,0.01,1
2018/2/27 0:15,0.1,3
2018/2/27 0:30,0.19,1
2018/2/27 0:45,0.29,1
2018/2/27 1:00,0.38,1
2018/2/27 1:15,0.35,1
2018/2/27 1:30,0.32,1
2018/2/27 1:45,0.28,1
2018/2/27 2:00,0.25,1
2018/2/27 2:15,0.22,1
2018/2/27 2:30,0.19,1
2018/2/27 2:45,0.16,1
2018/2/27 3:00,0.13,1
2018/2/27 3:15,0.26,1
2018/2/27 3:30,0.39,1
2018/2/27 3:45,0.52,1
2018/2/27 4:00,0.65,1
2018/2/27 4:15,0.68,1
2018/2/27 4:30,0.71,1
2018/2/27 4:45,0.74,1
2018/2/27 5:00,0.77,1
2018/2/27 5:15,0.79,1
2018/2/27 5:30,0.81,1
2018/2/27 5:45,0.82,1
2018/2/27 6:00,0.84,1
2018/2/27 6:15,0.91,1
2018/2/27 6:30,0.98,1
2018/2/27 6:45,1.06,1
2018/2/27 7:00,1.13,1
2018/2/27 7:15,1.07,1
2018/2/27 7:30,1.01,1
2018/2/27 7:45,0.96,1
2018/2/27 8:00,0.9,1
2018/2/27 8:15,0.97,1
2018/2/27 8:30,1.04,1
2018/2/27 8:45,1.11,1
2018/2/27 9:00,1.18,1
2018/2/27 9:15,1.23,1
2018/2/27 9:30,1.29,1
2018/2/27 9:45,1.34,1
2018/2/27 10:00,1.4,1
2018/2/27 10:15,1.65,1
2018/2/27 10:30,1.9,1
2018/2/27 10:45,2.15,1
2018/2/27 11:00,2.4,1
2018/2/27 11:15,2.52,1
2018/2/27 11:30,2.64,1
2018/2/27 11:45,2.75,1
2018/2/27 12:00,2.87,1
2018/2/27 12:15,3.07,1
2018/2/27 12:30,3.27,1
2018/2/27 12:45,3.47,1
2018/2/27 13:00,3.67,1
2018/2/27 13:15,3.48,1
2018/2/27 13:30,3.29,1
2018/2/27 13:45,3.1,1
2018/2/27 14:00,2.91,1
2018/2/27 14:15,2.62,1
2018/2/27 14:30,2.33,1
2018/2/27 14:45,2.04,1
2018/2/27 15:00,1.75,1
2018/2/27 15:15,1.62,1
2018/2/27 15:30,1.49,1
2018/2/27 15:45,1.35,1
2018/2/27 16:00,1.22,1
2018/2/27 16:15,1.07,1
2018/2/27 16:30,0.91,1
2018/2/27 16:45,0.75,1
2018/2/27 17:00,0.6,1
2018/2/27 17:15,0.46,1
2018/2/27 17:30,0.33,1
2018/2/27 17:45,0.19,1
2018/2/27 18:00,0.05,1
2018/2/27 18:15,0.04,1
2018/2/27 18:30,0.03,1
2018/2/27 18:45,0.01,1
2018/3/1 1:15,0.15,122
2018/3/1 1:30,0.31,1
2018/3/1 1:45,0.46,1
2018/3/1 2:00,0.61,1
2018/3/1 2:15,0.48,1
2018/3/1 2:30,0.35,1
2018/3/1 2:45,0.21,1
2018/3/1 3:00,0.08,1
2018/3/1 3:15,0.15,1
2018/3/1 3:30,0.23,1
2018/3/1 3:45,0.3,1
2018/3/1 4:00,0.37,1
2018/3/1 4:15,0.7,1
2018/3/1 4:30,1.03,1
2018/3/1 4:45,1.37,1
2018/3/1 5:00,1.7,1
2018/3/1 5:15,1.41,1
2018/3/1 5:30,1.12,1
2018/3/1 5:45,0.83,1
2018/3/1 6:00,0.54,1
2018/3/1 6:15,0.62,1
2018/3/1 6:30,0.71,1
2018/3/1 6:45,0.79,1
2018/3/1 7:00,0.87,1
2018/3/1 7:15,0.91,1
2018/3/1 7:30,0.95,1
2018/3/1 7:45,0.98,1
2018/3/1 8:00,1.02,1
2018/3/1 8:15,1.02,1
2018/3/1 8:30,1.01,1
2018/3/1 8:45,1.0,1
2018/3/1 9:00,1.0,1
2018/3/1 9:15,1.01,1
2018/3/1 9:30,1.02,1
2018/3/1 9:45,1.03,1
2018/3/1 10:00,1.04,1
2018/3/1 10:15,0.98,1
2018/3/1 10:30,0.92,1
2018/3/1 10:45,0.85,1
2018/3/1 11:00,0.79,1
2018/3/1 11:15,0.86,1
2018/3/1 11:30,0.94,1
2018/3/1 11:45,1.01,1
2018/3/1 12:00,1.08,1
2018/3/1 12:15,1.1,1
2018/3/1 12:30,1.12,1
2018/3/1 12:45,1.13,1
2018/3/1 13:00,1.15,1
2018/3/1 13:15,1.22,1
2018/3/1 13:30,1.29,1
2018/3/1 13:45,1.36,1
2018/3/1 14:00,1.43,1
2018/3/1 14:15,1.47,1
2018/3/1 14:30,1.51,1
2018/3/1 14:45,1.55,1
2018/3/1 15:00,1.59,1
2018/3/1 15:15,1.81,1
2018/3/1 15:30,2.04,1
2018/3/1 15:45,2.26,1
2018/3/1 16:00,2.48,1
2018/3/1 16:15,2.34,1
2018/3/1 16:30,2.19,1
2018/3/1 16:45,2.05,1
2018/3/1 17:00,1.9,1
2018/3/1 17:15,1.65,1
2018/3/1 17:30,1.4,1
2018/3/1 17:45,1.14,1
2018/3/1 18:00,0.89,1
2018/3/1 18:15,0.68,1
2018/3/1 18:30,0.47,1
2018/3/1 18:45,0.26,1
2018/3/1 19:00,0.05,1
2018/3/1 19:15,0.04,1
2018/3/1 19:30,0.03,1
2018/3/1 19:45,0.01,1
2018/3/2 7:15,0.04,46
2018/3/2 7:30,0.09,1
2018/3/2 7:45,0.13,1
2018/3/2 8:00,0.17,1
2018/3/2 8:15,0.44,1
2018/3/2 8:30,0.7,1
2018/3/2 8:45,0.97,1
2018/3/2 9:00,1.23,1
2018/3/2 9:15,1.09,1
2018/3/2 9:30,0.94,1
2018/3/2 9:45,0.8,1
2018/3/2 10:00,0.65,1
2018/3/2 10:15,0.54,1
2018/3/2 10:30,0.43,1
2018/3/2 10:45,0.32,1
2018/3/2 11:00,0.21,1
2018/3/2 11:15,0.4,1
2018/3/2 11:30,0.59,1
2018/3/2 11:45,0.77,1
2018/3/2 12:00,0.96,1
2018/3/2 12:15,1.24,1
2018/3/2 12:30,1.53,1
2018/3/2 12:45,1.81,1
2018/3/2 13:00,2.09,1
2018/3/2 13:15,2.15,1
2018/3/2 13:30,2.21,1
2018/3/2 13:45,2.26,1
2018/3/2 14:00,2.32,1
2018/3/2 14:15,2.23,1
2018/3/2 14:30,2.14,1
2018/3/2 14:45,2.05,1
2018/3/2 15:00,1.96,1
2018/3/2 15:15,1.99,1
2018/3/2 15:30,2.02,1
2018/3/2 15:45,2.05,1
2018/3/2 16:00,2.08,1
2018/3/2 16:15,1.95,1
2018/3/2 16:30,1.82,1
2018/3/2 16:45,1.69,1
2018/3/2 17:00,1.56,1
2018/3/2 17:15,1.21,1
2018/3/2 17:30,0.87,1
2018/3/2 17:45,0.53,1
2018/3/2 18:00,0.18,1
2018/3/2 18:15,0.14,1
2018/3/2 18:30,0.1,1
2018/3/2 18:45,0.05,1
2018/3/2 19:00,0.01,1
2018/3/2 19:15,0.01,1
2018/3/2 19:30,0.01,1
2018/3/2 20:15,0.01,3
2018/3/2 20:30,0.03,1
2018/3/2 20:45,0.04,1
2018/3/2 21:00,0.05,1
2018/3/2 21:15,0.04,1
2018/3/2 21:30,0.03,1
2018/3/2 21:45,0.01,1
2018/3/3 13:15,0.14,62
2018/3/3 13:30,0.28,1
2018/3/3 13:45,0.41,1
2018/3/3 14:00,0.55,1
2018/3/3 14:15,0.43,1
2018/3/3 14:30,0.3,1
2018/3/3 14:45,0.18,1
2018/3/3 15:00,0.05,1
2018/3/3 15:15,0.04,1
2018/3/3 15:30,0.03,1
2018/3/3 15:45,0.01,1
2018/3/3 16:15,0.13,2
2018/3/3 16:30,0.27,1
2018/3/3 16:45,0.4,1
2018/3/3 17:00,0.53,1
2018/3/3 17:15,0.4,1
2018/3/3 17:30,0.28,1
2018/3/3 17:45,0.15,1
2018/3/3 18:00,0.02,1
2018/3/3 18:15,0.45,1
2018/3/3 18:30,0.87,1
2018/3/3 18:45,1.3,1
2018/3/3 19:00,1.72,1
2018/3/3 19:15,1.31,1
2018/3/3 19:30,0.9,1
2018/3/3 19:45,0.49,1
2018/3/3 20:00,0.08,1
2018/3/3 20:15,0.12,1
2018/3/3 20:30,0.17,1
2018/3/3 20:45,0.21,1
2018/3/3 21:00,0.25,1
2018/3/3 21:15,0.23,1
2018/3/3 21:30,0.21,1
2018/3/3 21:45,0.19,1
2018/3/3 22:00,0.17,1
2018/3/3 22:15,0.15,1
2018/3/3 22:30,0.14,1
2018/3/3 22:45,0.12,1
2018/3/3 23:00,0.1,1
2018/3/3 23:15,0.18,1
2018/3/3 23:30,0.27,1
2018/3/3 23:45,0.35,1
2018/3/4 0:00,0.43,1
2018/3/4 0:15,0.83,1
2018/3/4 0:30,1.23,1
2018/3/4 0:45,1.63,1
2018/3/4 1:00,2.03,1
2018/3/4 1:15,1.71,1
2018/3/4 1:30,1.38,1
2018/3/4 1:45,1.06,1
2018/3/4 2:00,0.73,1
2018/3/4 2:15,0.55,1
2018/3/4 2:30,0.37,1
2018/3/4 2:45,0.19,1
2018/3/4 3:00,0.01,1
2018/3/4 3:15,0.32,1
2018/3/4 3:30,0.64,1
2018/3/4 3:45,0.95,1
2018/3/4 4:00,1.26,1
2018/3/4 4:15,1.09,1
2018/3/4 4:30,0.91,1
2018/3/4 4:45,0.74,1
2018/3/4 5:00,0.56,1
2018/3/4 5:15,0.53,1
2018/3/4 5:30,0.49,1
2018/3/4 5:45,0.46,1
2018/3/4 6:00,0.42,1
2018/3/4 6:15,0.55,1
2018/3/4 6:30,0.68,1
2018/3/4 6:45,0.81,1
2018/3/4 7:00,0.94,1
2018/3/4 7:15,0.77,1
2018/3/4 7:30,0.6,1
2018/3/4 7:45,0.42,1
2018/3/4 8:00,0.25,1
2018/3/4 8:15,0.27,1
2018/3/4 8:30,0.29,1
2018/3/4 8:45,0.3,1
2018/3/4 9:00,0.32,1
2018/3/4 9:15,0.34,1
2018/3/4 9:30,0.35,1
2018/3/4 9:45,0.37,1
2018/3/4 10:00,0.38,1
2018/3/4 10:15,0.45,1
2018/3/4 10:30,0.53,1
2018/3/4 10:45,0.6,1
2018/3/4 11:00,0.67,1
2018/3/4 11:15,0.68,1
2018/3/4 11:30,0.69,1
2018/3/4 11:45,0.69,1
2018/3/4 12:00,0.7,1
2018/3/4 12:15,0.64,1
2018/3/4 12:30,0.57,1
2018/3/4 12:45,0.51,1
2018/3/4 13:00,0.45,1
2018/3/4 13:15,0.48,1
2018/3/4 13:30,0.51,1
2018/3/4 13:45,0.53,1
2018/3/4 14:00,0.56,1
2018/3/4 14:15,0.73,1
2018/3/4 14:30,0.9,1
2018/3/4 14:45,1.07,1
2018/3/4 15:00,1.24,1
2018/3/4 15:15,1.05,1
2018/3/4 15:30,0.87,1
2018/3/4 15:45,0.68,1
2018/3/4 16:00,0.49,1
2018/3/4 16:15,0.44,1
2018/3/4 16:30,0.38,1
2018/3/4 16:45,0.33,1
2018/3/4 17:00,0.27,1
2018/3/4 17:15,0.24,1
2018/3/4 17:30,0.2,1
2018/3/4 17:45,0.17,1
2018/3/4 18:00,0.13,1
2018/3/4 18:15,0.25,1
2018/3/4 18:30,0.36,1
2018/3/4 18:45,0.48,1
2018/3/4 19:00,0.59,1
2018/3/4 19:15,0.55,1
2018/3/4 19:30,0.52,1
2018/3/4 19:45,0.48,1
2018/3/4 20:00,0.44,1
2018/3/4 20:15,0.45,1
2018/3/4 20:30,0.45,1
2018/3/4 20:45,0.46,1
2018/3/4 21:00,0.47,1
2018/3/4 21:15,0.46,1
2018/3/4 21:30,0.44,1
2018/3/4 21:45,0.43,1
2018/3/4 22:00,0.42,1
2018/3/4 22:15,0.37,1
2018/3/4 22:30,0.33,1
2018/3/4 22:45,0.28,1
2018/3/4 23:00,0.23,1
2018/3/4 23:15,0.18,1
2018/3/4 23:30,0.13,1
2018/3/4 23:45,0.07,1
2018/3/5 0:00,0.02,1
2018/3/5 0:15,0.02,1
2018/3/5 0:30,0.01,1
2018/3/5 0:45,0.01,1
2018/3/5 15:30,0.01,59
2018/3/5 15:45,0.01,1
2018/3/5 16:00,0.01,1
2018/3/5 16:15,0.01,1
2018/3/5 16:30,0.01,1
2018/3/5 17:15,0.01,3
2018/3/5 17:30,0.01,1
2018/3/5 17:45,0.02,1
2018/3/5 18:00,0.02,1
2018/3/5 18:15,0.06,1
2018/3/5 18:30,0.11,1
2018/3/5 18:45,0.15,1
2018/3/5 19:00,0.19,1
2018/3/5 19:15,0.19,1
2018/3/5 19:30,0.2,1
2018/3/5 19:45,0.2,1
2018/3/5 20:00,0.2,1
2018/3/5 20:15,0.15,1
2018/3/5 20:30,0.11,1
2018/3/5 20:45,0.06,1
2018/3/5 21:00,0.01,1
2018/3/5 21:15,0.01,1
2018/3/5 21:30,0.01,1
2018/3/6 1:15,0.1,15
2018/3/6 1:30,0.2,1
2018/3/6 1:45,0.29,1
2018/3/6 2:00,0.39,1
2018/3/6 2:15,0.39,1
2018/3/6 2:30,0.4,1
2018/3/6 2:45,0.41,1
2018/3/6 3:00,0.41,1
2018/3/6 3:15,0.55,1
2018/3/6 3:30,0.7,1
2018/3/6 3:45,0.85,1
2018/3/6 4:00,0.99,1
2018/3/6 4:15,0.83,1
2018/3/6 4:30,0.67,1
2018/3/6 4:45,0.5,1
2018/3/6 5:00,0.34,1
2018/3/6 5:15,0.38,1
2018/3/6 5:30,0.42,1
2018/3/6 5:45,0.46,1
2018/3/6 6:00,0.5,1
2018/3/6 6:15,0.69,1
2018/3/6 6:30,0.88,1
2018/3/6 6:45,1.06,1
2018/3/6 7:00,1.25,1
2018/3/6 7:15,1.08,1
2018/3/6 7:30,0.92,1
2018/3/6 7:45,0.75,1
2018/3/6 8:00,0.58,1
2018/3/6 8:15,0.49,1
2018/3/6 8:30,0.39,1
2018/3/6 8:45,0.3,1
2018/3/6 9:00,0.21,1
2018/3/6 9:15,0.21,1
2018/3/6 9:30,0.22,1
2018/3/6 9:45,0.22,1
2018/3/6 10:00,0.22,1
2018/3/6 10:15,0.21,1
2018/3/6 10:30,0.19,1
2018/3/6 10:45,0.18,1
2018/3/6 11:00,0.16,1
2018/3/6 11:15,0.21,1
2018/3/6 11:30,0.26,1
2018/3/6 11:45,0.31,1
2018/3/6 12:00,0.36,1
2018/3/6 12:15,0.29,1
2018/3/6 12:30,0.22,1
2018/3/6 12:45,0.14,1
2018/3/6 13:00,0.07,1
2018/3/6 13:15,0.12,1
2018/3/6 13:30,0.17,1
2018/3/6 13:45,0.22,1
2018/3/6 14:00,0.27,1
2018/3/6 14:15,0.34,1
